Meter ID          ,Date / Time           ,KWH(ch: 1  set:0)    ,KVARH(ch: 2  set:0)  ,KWH(ch: 3  set:0)    ,KVAH(ch: 3  set:0)   ,PF(ch: 4  set:0)     ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,KW(ch: 3  set:0)    ,KVA(0(ch: 3  set:0) ,PF(0(ch: 4  set:0)  ,, PV 17.7 kW Rated Suniva Array
H202010637868     ,2017/12/08 10:15,43.47,17.55,0,46.88,0.93,173.88,70.2,0,187.52,0.93,,12/8/17 10:15,3.61
H202010637868     ,2017/12/08 10:30,42.66,17.46,0,46.09,0.93,170.64,69.84,0,184.38,0.93,,12/8/17 10:30,3.39
H202010637868     ,2017/12/08 10:45,42.75,17.64,0,46.25,0.92,171,70.56,0,184.99,0.92,,12/8/17 10:45,3.8
H202010637868     ,2017/12/08 11:00,43.2,18.36,0,46.94,0.92,172.8,73.44,0,187.76,0.92,,12/8/17 11:00,5.32
H202010637868     ,2017/12/08 11:15,43.92,18.72,0,47.74,0.92,175.68,74.88,0,190.97,0.92,,12/8/17 11:15,3.15
H202010637868     ,2017/12/08 11:30,43.92,18.63,0,47.71,0.92,175.68,74.52,0,190.83,0.92,,12/8/17 11:30,2.95
H202010637868     ,2017/12/08 11:45,45.54,18.9,0,49.31,0.92,182.16,75.6,0,197.22,0.92,,12/8/17 11:45,3.79
H202010637868     ,2017/12/08 12:00,45.72,18.99,0,49.51,0.92,182.88,75.96,0,198.03,0.92,,12/8/17 12:00,3.48
H202010637868     ,2017/12/08 12:15,46.53,18.72,0,50.15,0.93,186.12,74.88,0,200.62,0.93,,12/8/17 12:15,3.51
H202010637868     ,2017/12/08 12:30,46.26,18.81,0,49.94,0.93,185.04,75.24,0,199.75,0.93,,12/8/17 12:30,3.05
H202010637868     ,2017/12/08 12:45,45.9,18.72,0,49.57,0.93,183.6,74.88,0,198.28,0.93,,12/8/17 12:45,1.97
H202010637868     ,2017/12/08 13:00,43.92,17.91,0,47.43,0.93,175.68,71.64,0,189.73,0.93,,12/8/17 13:00,1.64
H202010637868     ,2017/12/08 13:15,43.92,18.09,0,47.5,0.92,175.68,72.36,0,190,0.92,,12/8/17 13:15,1.74
H202010637868     ,2017/12/08 13:30,43.38,17.91,0,46.93,0.92,173.52,71.64,0,187.73,0.92,,12/8/17 13:30,1.41
H202010637868     ,2017/12/08 13:45,43.29,17.91,0,46.85,0.92,173.16,71.64,0,187.39,0.92,,12/8/17 13:45,0.94
H202010637868     ,2017/12/08 14:00,42.21,17.91,0,45.85,0.92,168.84,71.64,0,183.41,0.92,,12/8/17 14:00,0.8
H202010637868     ,2017/12/08 14:15,43.02,18,0,46.63,0.92,172.08,72,0,186.54,0.92,,12/8/17 14:15,0.78
H202010637868     ,2017/12/08 14:30,43.47,17.91,0,47.01,0.92,173.88,71.64,0,188.06,0.92,,12/8/17 14:30,0.9
H202010637868     ,2017/12/08 14:45,43.92,17.91,0,47.43,0.93,175.68,71.64,0,189.73,0.93,,12/8/17 14:45,1.39
H202010637868     ,2017/12/08 15:00,44.73,18.36,0,48.35,0.93,178.92,73.44,0,193.41,0.93,,12/8/17 15:00,3.27
H202010637868     ,2017/12/08 15:15,46.71,18.81,0,50.36,0.93,186.84,75.24,0,201.42,0.93,,12/8/17 15:15,2.17
H202010637868     ,2017/12/08 15:30,45.54,18.63,0,49.2,0.93,182.16,74.52,0,196.81,0.93,,12/8/17 15:30,1.5
H202010637868     ,2017/12/08 15:45,44.28,18.18,0,47.87,0.93,177.12,72.72,0,191.47,0.93,,12/8/17 15:45,0.92
H202010637868     ,2017/12/08 16:00,43.38,18,0,46.97,0.92,173.52,72,0,187.86,0.92,,12/8/17 16:00,1.16
H202010637868     ,2017/12/08 16:15,42.39,17.82,0,45.98,0.92,169.56,71.28,0,183.93,0.92,,12/8/17 16:15,0.88
H202010637868     ,2017/12/08 16:30,42.3,17.91,0,45.94,0.92,169.2,71.64,0,183.74,0.92,,12/8/17 16:30,0.44
H202010637868     ,2017/12/08 16:45,41.94,17.91,0,45.6,0.92,167.76,71.64,0,182.42,0.92,,12/8/17 16:45,0.3
H202010637868     ,2017/12/08 17:00,41.94,18.18,0,45.71,0.92,167.76,72.72,0,182.84,0.92,,12/8/17 17:00,0.17
H202010637868     ,2017/12/08 17:15,41.94,18.09,0,45.68,0.92,167.76,72.36,0,182.7,0.92,,12/8/17 17:15,0.12
H202010637868     ,2017/12/08 17:30,41.94,18,0,45.64,0.92,167.76,72,0,182.56,0.92,,12/8/17 17:30,0.02
H202010637868     ,2017/12/08 17:45,40.5,17.1,0,43.96,0.92,162,68.4,0,175.85,0.92,,12/8/17 17:45,0.02
H202010637868     ,2017/12/08 18:00,40.5,17.37,0,44.07,0.92,162,69.48,0,176.27,0.92,,12/8/17 18:00,0.02
H202010637868     ,2017/12/08 18:15,40.5,17.37,0,44.07,0.92,162,69.48,0,176.27,0.92,,12/8/17 18:15,0.02
H202010637868     ,2017/12/08 18:30,40.14,17.28,0,43.7,0.92,160.56,69.12,0,174.81,0.92,,12/8/17 18:30,0.02
H202010637868     ,2017/12/08 18:45,40.32,17.46,0,43.94,0.92,161.28,69.84,0,175.75,0.92,,12/8/17 18:45,0.02
H202010637868     ,2017/12/08 19:00,39.78,17.46,0,43.44,0.92,159.12,69.84,0,173.77,0.92,,12/8/17 19:00,0.02
H202010637868     ,2017/12/08 19:15,39.42,17.28,0,43.04,0.92,157.68,69.12,0,172.16,0.92,,12/8/17 19:15,0.02
H202010637868     ,2017/12/08 19:30,39.51,17.55,0,43.23,0.91,158.04,70.2,0,172.93,0.91,,12/8/17 19:30,0.03
H202010637868     ,2017/12/08 19:45,39.15,17.55,0,42.9,0.91,156.6,70.2,0,171.61,0.91,,12/8/17 19:45,0.03
H202010637868     ,2017/12/08 20:00,39.24,17.55,0,42.99,0.91,156.96,70.2,0,171.94,0.91,,12/8/17 20:00,0.03
H202010637868     ,2017/12/08 20:15,38.52,17.46,0,42.29,0.91,154.08,69.84,0,169.17,0.91,,12/8/17 20:15,0.03
H202010637868     ,2017/12/08 20:30,38.7,17.82,0,42.61,0.91,154.8,71.28,0,170.42,0.91,,12/8/17 20:30,0.03
H202010637868     ,2017/12/08 20:45,38.7,17.91,0,42.64,0.91,154.8,71.64,0,170.57,0.91,,12/8/17 20:45,0.03
H202010637868     ,2017/12/08 21:00,38.34,17.82,0,42.28,0.91,153.36,71.28,0,169.12,0.91,,12/8/17 21:00,0.03
H202010637868     ,2017/12/08 21:15,38.16,17.73,0,42.08,0.91,152.64,70.92,0,168.31,0.91,,12/8/17 21:15,0.04
H202010637868     ,2017/12/08 21:30,37.08,17.46,0,40.99,0.9,148.32,69.84,0,163.94,0.9,,12/8/17 21:30,0.04
H202010637868     ,2017/12/08 21:45,37.08,17.55,0,41.02,0.9,148.32,70.2,0,164.09,0.9,,12/8/17 21:45,0.04
H202010637868     ,2017/12/08 22:00,36.72,17.55,0,40.7,0.9,146.88,70.2,0,162.79,0.9,,12/8/17 22:00,0.04
H202010637868     ,2017/12/08 22:15,36.99,17.73,0,41.02,0.9,147.96,70.92,0,164.08,0.9,,12/8/17 22:15,0.04
H202010637868     ,2017/12/08 22:30,37.17,17.73,0,41.18,0.9,148.68,70.92,0,164.73,0.9,,12/8/17 22:30,0.04
H202010637868     ,2017/12/08 22:45,37.35,17.82,0,41.38,0.9,149.4,71.28,0,165.53,0.9,,12/8/17 22:45,0.04
H202010637868     ,2017/12/08 23:00,37.26,17.91,0,41.34,0.9,149.04,71.64,0,165.36,0.9,,12/8/17 23:00,0.05
H202010637868     ,2017/12/08 23:15,36.9,17.37,0,40.78,0.9,147.6,69.48,0,163.14,0.9,,12/8/17 23:15,0.05
H202010637868     ,2017/12/08 23:30,37.26,17.82,0,41.3,0.9,149.04,71.28,0,165.21,0.9,,12/8/17 23:30,0.05
H202010637868     ,2017/12/08 23:45,36.36,17.37,0,40.3,0.9,145.44,69.48,0,161.18,0.9,,12/8/17 23:45,0.05
H202010637868     ,2017/12/09 0:00,36.63,17.55,0,40.62,0.9,146.52,70.2,0,162.47,0.9,,12/9/17 0:00,0.05
H202010637868     ,2017/12/09 0:15,35.82,16.74,0,39.54,0.91,143.28,66.96,0,158.15,0.91,,12/9/17 0:15,0.05
H202010637868     ,2017/12/09 0:30,35.73,16.65,0,39.42,0.91,142.92,66.6,0,157.68,0.91,,12/9/17 0:30,0.06
H202010637868     ,2017/12/09 0:45,35.55,16.74,0,39.29,0.9,142.2,66.96,0,157.18,0.9,,12/9/17 0:45,0.06
H202010637868     ,2017/12/09 1:00,35.46,16.65,0,39.17,0.91,141.84,66.6,0,156.7,0.91,,12/9/17 1:00,0.06
H202010637868     ,2017/12/09 1:15,35.46,16.47,0,39.1,0.91,141.84,65.88,0,156.39,0.91,,12/9/17 1:15,0.06
H202010637868     ,2017/12/09 1:30,35.28,16.65,0,39.01,0.9,141.12,66.6,0,156.05,0.9,,12/9/17 1:30,0.06
H202010637868     ,2017/12/09 1:45,35.64,16.83,0,39.41,0.9,142.56,67.32,0,157.66,0.9,,12/9/17 1:45,0.06
H202010637868     ,2017/12/09 2:00,35.82,17.28,0,39.77,0.9,143.28,69.12,0,159.08,0.9,,12/9/17 2:00,0.06
H202010637868     ,2017/12/09 2:15,35.91,17.1,0,39.77,0.9,143.64,68.4,0,159.09,0.9,,12/9/17 2:15,0.07
H202010637868     ,2017/12/09 2:30,35.82,17.19,0,39.73,0.9,143.28,68.76,0,158.92,0.9,,12/9/17 2:30,0.07
H202010637868     ,2017/12/09 2:45,35.73,17.01,0,39.57,0.9,142.92,68.04,0,158.29,0.9,,12/9/17 2:45,0.07
H202010637868     ,2017/12/09 3:00,35.64,17.1,0,39.53,0.9,142.56,68.4,0,158.12,0.9,,12/9/17 3:00,0.07
H202010637868     ,2017/12/09 3:15,36,17.19,0,39.89,0.9,144,68.76,0,159.57,0.9,,12/9/17 3:15,0.07
H202010637868     ,2017/12/09 3:30,35.73,17.01,0,39.57,0.9,142.92,68.04,0,158.29,0.9,,12/9/17 3:30,0.07
H202010637868     ,2017/12/09 3:45,35.46,17.1,0,39.37,0.9,141.84,68.4,0,157.47,0.9,,12/9/17 3:45,0.07
H202010637868     ,2017/12/09 4:00,35.28,16.83,0,39.09,0.9,141.12,67.32,0,156.35,0.9,,12/9/17 4:00,0.08
H202010637868     ,2017/12/09 4:15,35.1,16.92,0,38.97,0.9,140.4,67.68,0,155.86,0.9,,12/9/17 4:15,0.08
H202010637868     ,2017/12/09 4:30,35.01,16.92,0,38.88,0.9,140.04,67.68,0,155.54,0.9,,12/9/17 4:30,0.08
H202010637868     ,2017/12/09 4:45,35.01,17.1,0,38.96,0.9,140.04,68.4,0,155.85,0.9,,12/9/17 4:45,0.08
H202010637868     ,2017/12/09 5:00,34.83,16.83,0,38.68,0.9,139.32,67.32,0,154.73,0.9,,12/9/17 5:00,0.08
H202010637868     ,2017/12/09 5:15,34.11,16.65,0,37.96,0.9,136.44,66.6,0,151.83,0.9,,12/9/17 5:15,0.08
H202010637868     ,2017/12/09 5:30,34.47,17.01,0,38.44,0.9,137.88,68.04,0,153.75,0.9,,12/9/17 5:30,0.08
H202010637868     ,2017/12/09 5:45,35.37,17.64,0,39.52,0.89,141.48,70.56,0,158.1,0.89,,12/9/17 5:45,0.09
H202010637868     ,2017/12/09 6:00,35.19,17.73,0,39.4,0.89,140.76,70.92,0,157.62,0.89,,12/9/17 6:00,0.09
H202010637868     ,2017/12/09 6:15,35.37,17.73,0,39.57,0.89,141.48,70.92,0,158.26,0.89,,12/9/17 6:15,0.09
H202010637868     ,2017/12/09 6:30,35.37,17.46,0,39.44,0.9,141.48,69.84,0,157.78,0.9,,12/9/17 6:30,0.09
H202010637868     ,2017/12/09 6:45,35.28,17.1,0,39.21,0.9,141.12,68.4,0,156.82,0.9,,12/9/17 6:45,0.09
H202010637868     ,2017/12/09 7:00,35.28,16.92,0,39.13,0.9,141.12,67.68,0,156.51,0.9,,12/9/17 7:00,0.09
H202010637868     ,2017/12/09 7:15,34.47,16.74,0,38.32,0.9,137.88,66.96,0,153.28,0.9,,12/9/17 7:15,0.09
H202010637868     ,2017/12/09 7:30,34.2,16.65,0,38.04,0.9,136.8,66.6,0,152.15,0.9,,12/9/17 7:30,0.1
H202010637868     ,2017/12/09 7:45,36.9,17.55,0,40.86,0.9,147.6,70.2,0,163.44,0.9,,12/9/17 7:45,0.1
H202010637868     ,2017/12/09 8:00,36.54,17.1,0,40.34,0.91,146.16,68.4,0,161.37,0.91,,12/9/17 8:00,0.28
H202010637868     ,2017/12/09 8:15,35.1,16.92,0,38.97,0.9,140.4,67.68,0,155.86,0.9,,12/9/17 8:15,0.42
H202010637868     ,2017/12/09 8:30,33.48,17.28,0,37.68,0.89,133.92,69.12,0,150.71,0.89,,12/9/17 8:30,0.38
H202010637868     ,2017/12/09 8:45,33.12,17.01,0,37.23,0.89,132.48,68.04,0,148.93,0.89,,12/9/17 8:45,0.88
H202010637868     ,2017/12/09 9:00,35.64,17.37,0,39.65,0.9,142.56,69.48,0,158.59,0.9,,12/9/17 9:00,1.6
H202010637868     ,2017/12/09 9:15,37.08,17.55,0,41.02,0.9,148.32,70.2,0,164.09,0.9,,12/9/17 9:15,1.61
H202010637868     ,2017/12/09 9:30,37.62,18.18,0,41.78,0.9,150.48,72.72,0,167.13,0.9,,12/9/17 9:30,1.19
H202010637868     ,2017/12/09 9:45,38.25,18.45,0,42.47,0.9,153,73.8,0,169.87,0.9,,12/9/17 9:45,1.52
H202010637868     ,2017/12/09 10:00,37.98,18.45,0,42.22,0.9,151.92,73.8,0,168.9,0.9,,12/9/17 10:00,2.64
H202010637868     ,2017/12/09 10:15,38.52,18.45,0,42.71,0.9,154.08,73.8,0,170.84,0.9,,12/9/17 10:15,2.33
H202010637868     ,2017/12/09 10:30,40.05,18.45,0,44.1,0.91,160.2,73.8,0,176.38,0.91,,12/9/17 10:30,2.2
H202010637868     ,2017/12/09 10:45,40.23,18.63,0,44.33,0.91,160.92,74.52,0,177.34,0.91,,12/9/17 10:45,2.19
H202010637868     ,2017/12/09 11:00,38.61,18.27,0,42.71,0.9,154.44,73.08,0,170.86,0.9,,12/9/17 11:00,2.61
H202010637868     ,2017/12/09 11:15,39.87,18.63,0,44.01,0.91,159.48,74.52,0,176.03,0.91,,12/9/17 11:15,1.55
H202010637868     ,2017/12/09 11:30,40.05,18.36,0,44.06,0.91,160.2,73.44,0,176.23,0.91,,12/9/17 11:30,1.51
H202010637868     ,2017/12/09 11:45,40.59,18.36,0,44.55,0.91,162.36,73.44,0,178.2,0.91,,12/9/17 11:45,1.65
H202010637868     ,2017/12/09 12:00,40.86,18.36,0,44.8,0.91,163.44,73.44,0,179.18,0.91,,12/9/17 12:00,2
H202010637868     ,2017/12/09 12:15,41.67,18.63,0,45.64,0.91,166.68,74.52,0,182.58,0.91,,12/9/17 12:15,1.76
H202010637868     ,2017/12/09 12:30,40.86,18.72,0,44.94,0.91,163.44,74.88,0,179.78,0.91,,12/9/17 12:30,2.1
H202010637868     ,2017/12/09 12:45,40.41,18.63,0,44.5,0.91,161.64,74.52,0,177.99,0.91,,12/9/17 12:45,2.46
H202010637868     ,2017/12/09 13:00,40.59,18.81,0,44.74,0.91,162.36,75.24,0,178.95,0.91,,12/9/17 13:00,2.59
H202010637868     ,2017/12/09 13:15,40.05,18.72,0,44.21,0.91,160.2,74.88,0,176.84,0.91,,12/9/17 13:15,2.72
H202010637868     ,2017/12/09 13:30,40.23,18.81,0,44.41,0.91,160.92,75.24,0,177.64,0.91,,12/9/17 13:30,1.91
H202010637868     ,2017/12/09 13:45,40.23,18.81,0,44.41,0.91,160.92,75.24,0,177.64,0.91,,12/9/17 13:45,1.72
H202010637868     ,2017/12/09 14:00,39.6,18.54,0,43.73,0.91,158.4,74.16,0,174.9,0.91,,12/9/17 14:00,1.55
H202010637868     ,2017/12/09 14:15,40.41,18.9,0,44.61,0.91,161.64,75.6,0,178.45,0.91,,12/9/17 14:15,1.66
H202010637868     ,2017/12/09 14:30,40.14,18.81,0,44.33,0.91,160.56,75.24,0,177.31,0.91,,12/9/17 14:30,1.52
H202010637868     ,2017/12/09 14:45,40.68,18.81,0,44.82,0.91,162.72,75.24,0,179.27,0.91,,12/9/17 14:45,1.52
H202010637868     ,2017/12/09 15:00,41.13,18.81,0,45.23,0.91,164.52,75.24,0,180.91,0.91,,12/9/17 15:00,1.64
H202010637868     ,2017/12/09 15:15,40.59,18.9,0,44.77,0.91,162.36,75.6,0,179.1,0.91,,12/9/17 15:15,1.96
H202010637868     ,2017/12/09 15:30,40.5,18.81,0,44.65,0.91,162,75.24,0,178.62,0.91,,12/9/17 15:30,2.34
H202010637868     ,2017/12/09 15:45,41.4,19.08,0,45.59,0.91,165.6,76.32,0,182.34,0.91,,12/9/17 15:45,1.95
H202010637868     ,2017/12/09 16:00,40.68,18.99,0,44.89,0.91,162.72,75.96,0,179.58,0.91,,12/9/17 16:00,0.97
H202010637868     ,2017/12/09 16:15,40.86,18.99,0,45.06,0.91,163.44,75.96,0,180.23,0.91,,12/9/17 16:15,0.51
H202010637868     ,2017/12/09 16:30,40.23,18.54,0,44.3,0.91,160.92,74.16,0,177.19,0.91,,12/9/17 16:30,0.72
H202010637868     ,2017/12/09 16:45,40.14,18.9,0,44.37,0.9,160.56,75.6,0,177.47,0.9,,12/9/17 16:45,0.39
H202010637868     ,2017/12/09 17:00,40.68,18.81,0,44.82,0.91,162.72,75.24,0,179.27,0.91,,12/9/17 17:00,0.3
H202010637868     ,2017/12/09 17:15,41.31,18.99,0,45.47,0.91,165.24,75.96,0,181.86,0.91,,12/9/17 17:15,0.43
H202010637868     ,2017/12/09 17:30,40.86,18.45,0,44.83,0.91,163.44,73.8,0,179.33,0.91,,12/9/17 17:30,0.15
H202010637868     ,2017/12/09 17:45,40.23,17.82,0,44,0.91,160.92,71.28,0,176,0.91,,12/9/17 17:45,0.01
H202010637868     ,2017/12/09 18:00,39.6,17.73,0,43.39,0.91,158.4,70.92,0,173.55,0.91,,12/9/17 18:00,0.02
H202010637868     ,2017/12/09 18:15,39.78,17.73,0,43.55,0.91,159.12,70.92,0,174.21,0.91,,12/9/17 18:15,0.02
H202010637868     ,2017/12/09 18:30,40.14,17.91,0,43.95,0.91,160.56,71.64,0,175.82,0.91,,12/9/17 18:30,0.02
H202010637868     ,2017/12/09 18:45,39.33,17.82,0,43.18,0.91,157.32,71.28,0,172.71,0.91,,12/9/17 18:45,0.02
H202010637868     ,2017/12/09 19:00,38.7,17.55,0,42.49,0.91,154.8,70.2,0,169.97,0.91,,12/9/17 19:00,0.03
H202010637868     ,2017/12/09 19:15,38.61,17.55,0,42.41,0.91,154.44,70.2,0,169.65,0.91,,12/9/17 19:15,0.03
H202010637868     ,2017/12/09 19:30,38.61,17.73,0,42.49,0.91,154.44,70.92,0,169.95,0.91,,12/9/17 19:30,0.03
H202010637868     ,2017/12/09 19:45,38.52,17.91,0,42.48,0.91,154.08,71.64,0,169.92,0.91,,12/9/17 19:45,0.03
H202010637868     ,2017/12/09 20:00,38.43,17.91,0,42.4,0.91,153.72,71.64,0,169.59,0.91,,12/9/17 20:00,0.03
H202010637868     ,2017/12/09 20:15,38.07,18.09,0,42.15,0.9,152.28,72.36,0,168.6,0.9,,12/9/17 20:15,0.04
H202010637868     ,2017/12/09 20:30,38.07,18.18,0,42.19,0.9,152.28,72.72,0,168.75,0.9,,12/9/17 20:30,0.04
H202010637868     ,2017/12/09 20:45,37.89,18.27,0,42.06,0.9,151.56,73.08,0,168.26,0.9,,12/9/17 20:45,0.04
H202010637868     ,2017/12/09 21:00,37.62,18.18,0,41.78,0.9,150.48,72.72,0,167.13,0.9,,12/9/17 21:00,0.04
H202010637868     ,2017/12/09 21:15,37.35,18.36,0,41.62,0.9,149.4,73.44,0,166.47,0.9,,12/9/17 21:15,0.05
H202010637868     ,2017/12/09 21:30,37.26,18.36,0,41.54,0.9,149.04,73.44,0,166.15,0.9,,12/9/17 21:30,0.05
H202010637868     ,2017/12/09 21:45,37.44,18.36,0,41.7,0.9,149.76,73.44,0,166.8,0.9,,12/9/17 21:45,0.05
H202010637868     ,2017/12/09 22:00,36.9,18.18,0,41.14,0.9,147.6,72.72,0,164.54,0.9,,12/9/17 22:00,0.05
H202010637868     ,2017/12/09 22:15,36.9,18.27,0,41.18,0.9,147.6,73.08,0,164.7,0.9,,12/9/17 22:15,0.05
H202010637868     ,2017/12/09 22:30,36.27,16.65,0,39.91,0.91,145.08,66.6,0,159.64,0.91,,12/9/17 22:30,0.06
H202010637868     ,2017/12/09 22:45,36.45,16.74,0,40.11,0.91,145.8,66.96,0,160.44,0.91,,12/9/17 22:45,0.06
H202010637868     ,2017/12/09 23:00,36,16.65,0,39.66,0.91,144,66.6,0,158.66,0.91,,12/9/17 23:00,0.06
H202010637868     ,2017/12/09 23:15,35.91,16.65,0,39.58,0.91,143.64,66.6,0,158.33,0.91,,12/9/17 23:15,0.06
H202010637868     ,2017/12/09 23:30,35.55,16.47,0,39.18,0.91,142.2,65.88,0,156.72,0.91,,12/9/17 23:30,0.07
H202010637868     ,2017/12/09 23:45,35.37,16.47,0,39.02,0.91,141.48,65.88,0,156.07,0.91,,12/9/17 23:45,0.07
H202010637868     ,2017/12/10 0:00,36,16.38,0,39.55,0.91,144,65.52,0,158.21,0.91,,12/10/17 0:00,0.07
H202010637868     ,2017/12/10 0:15,35.73,16.56,0,39.38,0.91,142.92,66.24,0,157.52,0.91,,12/10/17 0:15,0.07
H202010637868     ,2017/12/10 0:30,35.55,16.56,0,39.22,0.91,142.2,66.24,0,156.87,0.91,,12/10/17 0:30,0.07
H202010637868     ,2017/12/10 0:45,35.28,16.47,0,38.94,0.91,141.12,65.88,0,155.74,0.91,,12/10/17 0:45,0.08
H202010637868     ,2017/12/10 1:00,35.55,16.65,0,39.26,0.91,142.2,66.6,0,157.02,0.91,,12/10/17 1:00,0.08
H202010637868     ,2017/12/10 1:15,35.1,16.56,0,38.81,0.9,140.4,66.24,0,155.24,0.9,,12/10/17 1:15,0.08
H202010637868     ,2017/12/10 1:30,35.37,17.01,0,39.25,0.9,141.48,68.04,0,156.99,0.9,,12/10/17 1:30,0.08
H202010637868     ,2017/12/10 1:45,35.1,16.65,0,38.85,0.9,140.4,66.6,0,155.4,0.9,,12/10/17 1:45,0.09
H202010637868     ,2017/12/10 2:00,35.19,16.74,0,38.97,0.9,140.76,66.96,0,155.88,0.9,,12/10/17 2:00,0.09
H202010637868     ,2017/12/10 2:15,35.64,16.56,0,39.3,0.91,142.56,66.24,0,157.2,0.91,,12/10/17 2:15,0.09
H202010637868     ,2017/12/10 2:30,35.73,16.83,0,39.5,0.9,142.92,67.32,0,157.98,0.9,,12/10/17 2:30,0.09
H202010637868     ,2017/12/10 2:45,35.55,16.83,0,39.33,0.9,142.2,67.32,0,157.33,0.9,,12/10/17 2:45,0.09
H202010637868     ,2017/12/10 3:00,35.64,17.01,0,39.49,0.9,142.56,68.04,0,157.96,0.9,,12/10/17 3:00,0.1
H202010637868     ,2017/12/10 3:15,35.73,17.01,0,39.57,0.9,142.92,68.04,0,158.29,0.9,,12/10/17 3:15,0.1
H202010637868     ,2017/12/10 3:30,35.46,17.1,0,39.37,0.9,141.84,68.4,0,157.47,0.9,,12/10/17 3:30,0.1
H202010637868     ,2017/12/10 3:45,35.28,16.92,0,39.13,0.9,141.12,67.68,0,156.51,0.9,,12/10/17 3:45,0.1
H202010637868     ,2017/12/10 4:00,35.28,17.28,0,39.28,0.9,141.12,69.12,0,157.14,0.9,,12/10/17 4:00,0.11
H202010637868     ,2017/12/10 4:15,34.56,17.28,0,38.64,0.89,138.24,69.12,0,154.56,0.89,,12/10/17 4:15,0.11
H202010637868     ,2017/12/10 4:30,34.56,17.19,0,38.6,0.9,138.24,68.76,0,154.4,0.9,,12/10/17 4:30,0.11
H202010637868     ,2017/12/10 4:45,34.65,17.01,0,38.6,0.9,138.6,68.04,0,154.4,0.9,,12/10/17 4:45,0.11
H202010637868     ,2017/12/10 5:00,34.92,16.92,0,38.8,0.9,139.68,67.68,0,155.21,0.9,,12/10/17 5:00,0.11
H202010637868     ,2017/12/10 5:15,34.74,16.74,0,38.56,0.9,138.96,66.96,0,154.25,0.9,,12/10/17 5:15,0.12
H202010637868     ,2017/12/10 5:30,35.01,17.01,0,38.92,0.9,140.04,68.04,0,155.69,0.9,,12/10/17 5:30,0.12
H202010637868     ,2017/12/10 5:45,35.55,17.73,0,39.73,0.89,142.2,70.92,0,158.9,0.89,,12/10/17 5:45,0.12
H202010637868     ,2017/12/10 6:00,35.46,17.64,0,39.61,0.9,141.84,70.56,0,158.42,0.9,,12/10/17 6:00,0.12
H202010637868     ,2017/12/10 6:15,35.73,17.46,0,39.77,0.9,142.92,69.84,0,159.07,0.9,,12/10/17 6:15,0.13
H202010637868     ,2017/12/10 6:30,35.55,17.28,0,39.53,0.9,142.2,69.12,0,158.11,0.9,,12/10/17 6:30,0.13
H202010637868     ,2017/12/10 6:45,35.46,16.74,0,39.21,0.9,141.84,66.96,0,156.85,0.9,,12/10/17 6:45,0.13
H202010637868     ,2017/12/10 7:00,35.55,17.01,0,39.41,0.9,142.2,68.04,0,157.64,0.9,,12/10/17 7:00,0.13
H202010637868     ,2017/12/10 7:15,35.55,16.65,0,39.26,0.91,142.2,66.6,0,157.02,0.91,,12/10/17 7:15,0.13
H202010637868     ,2017/12/10 7:30,35.19,16.74,0,38.97,0.9,140.76,66.96,0,155.88,0.9,,12/10/17 7:30,0.14
H202010637868     ,2017/12/10 7:45,34.74,16.65,0,38.52,0.9,138.96,66.6,0,154.1,0.9,,12/10/17 7:45,0.14
H202010637868     ,2017/12/10 8:00,35.46,16.83,0,39.25,0.9,141.84,67.32,0,157,0.9,,12/10/17 8:00,0.11
H202010637868     ,2017/12/10 8:15,35.55,16.65,0,39.26,0.91,142.2,66.6,0,157.02,0.91,,12/10/17 8:15,0.27
H202010637868     ,2017/12/10 8:30,35.91,16.92,0,39.7,0.9,143.64,67.68,0,158.79,0.9,,12/10/17 8:30,0.35
H202010637868     ,2017/12/10 8:45,35.82,16.56,0,39.46,0.91,143.28,66.24,0,157.85,0.91,,12/10/17 8:45,0.69
H202010637868     ,2017/12/10 9:00,35.01,16.92,0,38.88,0.9,140.04,67.68,0,155.54,0.9,,12/10/17 9:00,0.89
H202010637868     ,2017/12/10 9:15,34.2,18.18,0,38.73,0.88,136.8,72.72,0,154.93,0.88,,12/10/17 9:15,1.48
H202010637868     ,2017/12/10 9:30,35.55,18.18,0,39.93,0.89,142.2,72.72,0,159.72,0.89,,12/10/17 9:30,1.74
H202010637868     ,2017/12/10 9:45,35.55,18.63,0,40.14,0.89,142.2,74.52,0,160.54,0.89,,12/10/17 9:45,1.57
H202010637868     ,2017/12/10 10:00,36.45,18.81,0,41.02,0.89,145.8,75.24,0,164.07,0.89,,12/10/17 10:00,1.6
H202010637868     ,2017/12/10 10:15,37.08,18.63,0,41.5,0.89,148.32,74.52,0,165.99,0.89,,12/10/17 10:15,1.63
H202010637868     ,2017/12/10 10:30,36.81,18.54,0,41.22,0.89,147.24,74.16,0,164.86,0.89,,12/10/17 10:30,1.84
H202010637868     ,2017/12/10 10:45,37.62,18.54,0,41.94,0.9,150.48,74.16,0,167.76,0.9,,12/10/17 10:45,2.21
H202010637868     ,2017/12/10 11:00,37.89,18.72,0,42.26,0.9,151.56,74.88,0,169.05,0.9,,12/10/17 11:00,2.24
H202010637868     ,2017/12/10 11:15,38.43,18.63,0,42.71,0.9,153.72,74.52,0,170.83,0.9,,12/10/17 11:15,2.14
